Year,mean_price,count,min_price,max_price
1900,3734.48,29,500,10000
1913,1100.0,1,1100,1100
1915,12000.0,1,12000,12000
1948,1000.0,1,1000,1000
1949,2800.0,2,600,5000
1950,3250.0,2,1000,5500
1953,3500.0,1,3500,3500
1954,750.0,1,750,750
1955,5675.0,2,1350,10000
1956,1700.0,1,1700,1700
1957,2555.0,3,2555,2555
1958,3750.0,2,2500,5000
1959,2460.0,2,720,4200
1960,2350.0,3,1500,4000
1961,12000.0,1,12000,12000
1962,2050.0,4,1000,3900
1963,3233.33,3,2000,5000
1964,9285.71,7,600,50000
1965,10999.0,1,10999,10999
1966,3760.0,5,1000,12000
1967,2187.38,8,700,8700
1968,1300.0,1,1300,1300
1969,1850.0,4,500,3000
1970,1050.0,2,700,1400
1971,1150.0,2,650,1650
1972,1025.0,2,850,1200
1973,2066.0,5,500,4500
1974,4216.67,12,300,16000
1975,7530.0,5,1150,10000
1976,2000.0,2,1500,2500
1977,5375.0,8,450,20000
1978,3561.0,8,990,10000
1979,3680.0,10,500,9800
1980,4126.06,18,370,35000
1981,3256.5,20,550,12000
1982,2214.03,29,250,10000
1983,2878.58,31,350,15000
1984,3798.98,49,350,20000
1985,4136.92,66,400,30000
1986,3347.52,81,200,20000
1987,3330.55,74,450,15000
1988,3279.31,116,400,19000
1989,2876.7,174,1,18000
1990,2741.54,195,250,25000
1991,2716.58,295,10,22000
1992,2448.29,338,5,22700
1993,2643.98,513,100,40000
1994,2309.91,438,200,26000
1995,2560.15,585,100,36000
1996,2675.59,592,10,80000
1997,2658.98,392,5,25000
1998,3225.71,419,350,100000
1999,2895.22,530,1,27800
2000,3259.12,823,250,50000
2001,3711.55,875,400,100000
2002,3949.24,864,500,75000
2003,4075.77,1061,450,25000
2004,4392.43,1475,1,32000
2005,4753.27,1953,250,170000
2006,5505.12,1943,230,111000
2007,5941.91,1821,300,40000
2008,6654.53,2054,222,71000
2009,13229.71,1603,330,10000000
2010,8071.15,1780,1000,120000
2011,8972.57,2259,750,139999
2012,10227.9,2225,1700,200000
2013,11905.74,2053,500,105000
2014,13633.94,1895,1111,100000
2015,14693.81,2044,1200,200000
2016,17408.35,1926,2300,179999
2017,19527.78,1553,2400,99000
2018,24065.14,968,1945,490000
2019,28951.64,500,500,169900
2020,35455.95,318,1000,215000
2021,33868.23,175,500,176000
