Make,Year,Model,Style,Distance,Fuel_type,Priceeuro,Transmission,Engine_capacitycm3
Toyota,2011,Prius,Hatchback,195000.0,Hybrid,7750.0,Automatic,1800.0
Renault,2014,Grand Scenic,Universal,135000.0,Diesel,8550.0,Manual,1500.0
Volkswagen,1998,Golf,Hatchback,1.0,Petrol,2200.0,Manual,1400.0
Renault,2012,Laguna,Universal,110000.0,Diesel,6550.0,Manual,1500.0
Opel,2006,Astra,Universal,200000.0,Metan/Propan,4100.0,Manual,1600.0
Mercedes,2000,Vito,Microvan,300000.0,Diesel,3490.0,Manual,2200.0
Volkswagen,2010,Passat,Universal,290000.0,Petrol,5600.0,Manual,1390.0
Volkswagen,2010,Touareg,SUV,220000.0,Diesel,17000.0,Automatic,2400.0
Mercedes,1991,Series (W124),Sedan,240000.0,Petrol,2850.0,Manual,2300.0
BMW,2004,5 Series,Sedan,325000.0,Diesel,3400.0,Manual,300.0
Mercedes,2010,E Class,Sedan,210000.0,Diesel,11400.0,Automatic,2200.0
Mercedes,2006,CLS Class,Coupe,300000.0,Diesel,11800.0,Automatic,3200.0
KIA,2005,Rio,Universal,23.0,Petrol,1550.0,Manual,1300.0
BMW,1998,7 Series,Sedan,285000.0,Petrol,3990.0,Manual,3500.0
Volkswagen,2007,Golf,Universal,238371.0,Petrol,5000.0,Automatic,1400.0
Volkswagen,2010,Golf Plus,Hatchback,150000.0,Petrol,5500.0,Manual,1200.0
Volvo,2012,XC60,Crossover,180000.0,Diesel,15900.0,Automatic,2400.0
Nissan,2011,Qashqai,Crossover,251000.0,Diesel,8300.0,Manual,1500.0
Hyundai,2005,Matrix,Universal,383000.0,Diesel,3200.0,Manual,1500.0
Audi,2009,A3,Hatchback,248000.0,Diesel,9299.0,Automatic,2000.0
Mercedes,2004,E Class,Universal,315000.0,Metan/Propan,6900.0,Manual,1800.0
GAZ,1992,31029,Sedan,68000.0,Petrol,2222.0,Manual,2445.0
Renault,2011,Megane,Universal,171000.0,Diesel,5700.0,Manual,1500.0
Tesla,2013,Model S,Hatchback,113000.0,Electric,27000.0,Automatic,367.0
Mercedes,2014,E Class,Sedan,275500.0,Diesel,18350.0,Automatic,2200.0
Lincoln,2017,MKZ,Sedan,157000.0,Hybrid,17800.0,Automatic,1998.0
Lexus,2017,NX Series,Crossover,76000.0,Petrol,27999.0,Automatic,1998.0
Dodge,2008,Caliber,Hatchback,113486.0,Metan/Propan,4495.0,Automatic,1998.0
Mercedes,2000,A Class,Hatchback,1.0,Petrol,2100.0,Manual,1400.0
Audi,1993,100,Sedan,235000.0,Petrol,2950.0,Manual,2000.0
Porsche,2012,Cayenne,Crossover,253444.0,Diesel,30222.0,Automatic,3000.0
Lexus,2009,RX Series,SUV,250000.0,Hybrid,17990.0,Automatic,3500.0
Volkswagen,2012,Passat,Sedan,179000.0,Metan/Propan,9800.0,Automatic,1400.0
BMW,2015,X1,Crossover,169777.0,Diesel,16888.0,Automatic,2000.0
Mercedes,2017,GLC Coupe,Crossover,71333.0,Diesel,43404.0,Automatic,2500.0
Opel,1994,Vectra,Sedan,340000.0,Petrol,1500.0,Manual,1800.0
BMW,2007,7 Series,Sedan,300000.0,Diesel,11500.0,Automatic,3000.0
Mercedes,2013,E Class,Universal,300.0,Diesel,11000.0,Automatic,2200.0
Volkswagen,2004,Touran,Minivan,280000.0,Diesel,5300.0,Automatic,200.0
Toyota,1996,Carina,Sedan,0.0,Petrol,1800.0,Manual,1800.0
Volkswagen,2010,Passat,Universal,228000.0,Metan/Propan,5700.0,Automatic,1400.0
Toyota,2010,Auris,Sedan,185000.0,Diesel,6500.0,Manual,1400.0
Nissan,2009,Qashqai,Hatchback,200415.0,Diesel,6200.0,Manual,1500.0
BMW,2016,3 Series,Minivan,136000.0,Diesel,13200.0,Automatic,2000.0
BMW,2003,5 Series,Sedan,250000.0,Petrol,7490.0,Automatic,3000.0
Mazda,1988,929,Sedan,345.0,Metan/Propan,2100.0,Manual,3000.0
Dacia,2014,Logan,Sedan,195000.0,Metan/Propan,3999.0,Manual,1200.0
Dacia,2015,Duster,SUV,170000.0,Diesel,8800.0,Manual,1500.0
Volkswagen,2010,Golf,Universal,191500.0,Petrol,5700.0,Manual,1400.0
Mercedes,1999,Vito,Minivan,1.0,Diesel,4150.0,Manual,2300.0
Volkswagen,2013,Touran,Minivan,1.0,Petrol,7599.0,Manual,1200.0
Volkswagen,1991,Passat,Sedan,292000.0,Petrol,1150.0,Manual,1800.0
BMW,2004,3 Series,Sedan,250000.0,Diesel,4499.0,Manual,2000.0
Nissan,2015,Qashqai,Crossover,158000.0,Diesel,11750.0,Manual,1500.0
Peugeot,2018,3008,Crossover,132000.0,Diesel,16500.0,Automatic,1500.0
Vaz,1990,2103,Sedan,9999999.0,Petrol,3500.0,Manual,1300.0
BMW,2005,X5,SUV,260500.0,Petrol,8999.0,Automatic,3000.0
Renault,2005,Megane,Universal,11111.0,Diesel,3200.0,Manual,1500.0
Nissan,2013,Qashqai,SUV,180000.0,Diesel,8999.0,Manual,1500.0
Ford,2012,Transit Connect,Minivan,151658.0,Diesel,3899.0,Manual,1800.0
Renault,2015,Scenic,Microvan,185480.0,Diesel,7550.0,Manual,1461.0
BMW,2009,7 Series,Sedan,215210.0,Diesel,16500.0,Automatic,3000.0
Volkswagen,2007,Polo,Hatchback,305988.0,Diesel,3250.0,Manual,1400.0
BMW,2014,5 Series,Sedan,231250.0,Diesel,18000.0,Automatic,2000.0
Vaz,2004,2121niva,Minivan,12000.0,Petrol,1800.0,Manual,1700.0
BMW,1998,5 Series,Sedan,11111.0,Petrol,3200.0,Manual,2500.0
Nissan,2014,Pulsar,Hatchback,87100.0,Petrol,7950.0,Manual,1200.0
Toyota,2000,Avensis,Sedan,420000.0,Metan/Propan,2999.0,Manual,1600.0
Seat,2002,Alhambra,Minivan,2.0,Petrol,4299.0,Manual,2000.0
Honda,2002,CR-V,Universal,275100.0,Petrol,5900.0,Manual,2000.0
BMW,2015,5 Series,Sedan,180236.0,Diesel,21500.0,Automatic,2000.0
Honda,2010,CR-V,Crossover,183000.0,Diesel,12999.0,Manual,2200.0
Nissan,2011,Note,Hatchback,195000.0,Diesel,5250.0,Manual,1500.0
Volkswagen,1993,Passat,Universal,311254.0,Metan/Propan,29000.0,Manual,2000.0
Opel,2010,Astra,Hatchback,190000.0,Diesel,6500.0,Manual,1300.0
Skoda,2016,Rapid,Universal,116000.0,Petrol,10300.0,Automatic,1598.0
Volkswagen,2006,Sharan,Minivan,250000.0,Diesel,6900.0,Manual,2000.0
Lexus,2009,Es Series,Sedan,149.0,Metan/Propan,10499.0,Automatic,3490.0
Nissan,2015,Qashqai,Crossover,149000.0,Petrol,12500.0,Automatic,1200.0
Skoda,2016,Superb,Sedan,170000.0,Diesel,17490.0,Automatic,2000.0
Toyota,2001,Land Cruiser,SUV,250000.0,Metan/Propan,9990.0,Automatic,4700.0
Toyota,2008,Prius,Hatchback,1.0,Hybrid,6800.0,Automatic,1500.0
Toyota,2006,Corolla,Universal,256000.0,Diesel,5490.0,Manual,1400.0
Mazda,2002,Tribute,SUV,255000.0,Petrol,3990.0,Manual,2000.0
Chevrolet,2011,Volt,Hatchback,190000.0,Plug-in Hybrid,9150.0,Automatic,1400.0
Mercedes,2019,GLE Coupe,Crossover,24000.0,Petrol,51000.0,Automatic,3000.0
Volkswagen,2002,Passat,Universal,270000.0,Petrol,2550.0,Manual,1800.0
Volkswagen,2010,Touareg,SUV,235000.0,Diesel,20950.0,Automatic,3000.0
BMW,2000,5 Series,Sedan,254604.0,Petrol,4500.0,Manual,2500.0
Renault,2009,Megane,Universal,165000.0,Diesel,4999.0,Manual,1500.0
Toyota,2017,C-HR,Crossover,115000.0,Hybrid,17999.0,Automatic,1800.0
BMW,1998,7 Series,Sedan,350000.0,Petrol,3990.0,Manual,3500.0
Mercedes,2012,E Class,Sedan,150000.0,Diesel,14490.0,Automatic,2500.0
Audi,2018,A7,Hatchback,31091.0,Petrol,35500.0,Automatic,3000.0
Renault,2006,Clio,Hatchback,280000.0,Diesel,4299.0,Manual,1461.0
Subaru,2011,Trezia,Microvan,176.0,Diesel,5800.0,Manual,1400.0
Citroen,2012,C3,Hatchback,145000.0,Diesel,6899.0,Automatic,1400.0
Audi,1997,A6,Sedan,29800.0,Metan/Propan,2750.0,Manual,2400.0
Ford,2013,Fusion,Sedan,178000.0,Hybrid,9290.0,Automatic,2000.0
Toyota,2014,Prius,Sedan,140000.0,Plug-in Hybrid,11200.0,Automatic,800.0
Volkswagen,1993,Vento,Sedan,300000.0,Petrol,1700.0,Manual,1800.0
Fiat,2003,Stilo,Hatchback,1.0,Petrol,2650.0,Manual,1200.0
KIA,2009,Ceed,Hatchback,1.0,Diesel,4700.0,Manual,1600.0
Renault,2017,Captur,Crossover,129000.0,Diesel,10990.0,Automatic,1500.0
Lexus,2012,CT Series,Hatchback,193000.0,Hybrid,10950.0,Automatic,1800.0
Volvo,2010,XC60,SUV,202000.0,Diesel,14750.0,Automatic,2400.0
Dacia,2013,Dokker,Minivan,209000.0,Diesel,5750.0,Manual,1500.0
Hyundai,2010,i30,Hatchback,145000.0,Petrol,4750.0,Manual,1400.0
Lexus,2012,CT Series,Hatchback,194000.0,Hybrid,9999.0,Automatic,1800.0
Volvo,2008,XC90,SUV,249000.0,Diesel,11500.0,Manual,2400.0
Hyundai,2008,Getz,Hatchback,142000.0,Petrol,3499.0,Manual,1100.0
Mercedes,2005,A Class,Hatchback,260000.0,Metan/Propan,4750.0,Automatic,1500.0
Mercedes,2002,C Class,Coupe,240000.0,Petrol,3499.0,Manual,2300.0
Jaguar,2012,Xf,Sedan,120000.0,Diesel,15999.0,Automatic,2200.0
Mercedes,2010,E Class,Sedan,182000.0,Petrol,11750.0,Automatic,1800.0
Skoda,2005,Octavia,Universal,300000.0,Petrol,4999.0,Manual,2000.0
Opel,2008,Astra,Universal,310000.0,Diesel,4850.0,Manual,1300.0
Skoda,2014,Superb,Sedan,186000.0,Diesel,12300.0,Automatic,1600.0
Volkswagen,2011,Amarok,Pickup,150000.0,Diesel,12800.0,Manual,2000.0
Mercedes,2000,Vito,Minivan,258000.0,Diesel,2999.0,Automatic,2200.0
Mercedes,2000,E Class,Sedan,999.0,Petrol,3199.0,Automatic,2000.0
Toyota,2010,Auris,Hatchback,1.0,Hybrid,8990.0,Automatic,1400.0
Nissan,2016,Qashqai,Crossover,151000.0,Diesel,13890.0,Manual,1500.0
BMW,2018,5 Series,Sedan,46000.0,Petrol,27650.0,Automatic,2000.0
Renault,2010,Megane,Universal,257110.0,Diesel,4999.0,Manual,1500.0
Ford,2016,Mondeo,Sedan,167000.0,Diesel,12990.0,Manual,1500.0
Toyota,2018,C-HR,Crossover,114000.0,Hybrid,16750.0,Automatic,1800.0
Nissan,2017,Qashqai,Crossover,157600.0,Diesel,11990.0,Manual,1500.0
Toyota,2014,Auris,Universal,190000.0,Hybrid,8990.0,Automatic,1800.0
Toyota,2017,C-HR,Crossover,119000.0,Hybrid,18790.0,Automatic,1800.0
Peugeot,2018,3008,Crossover,145000.0,Diesel,16790.0,Automatic,1500.0
Renault,2016,Kadjar,Crossover,150200.0,Diesel,13450.0,Automatic,1500.0
